City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
174,Mahebourg,MU,73.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
175,Beruwala,LK,79.7,scattered clouds,6.4788,79.9828,The Palms Hotel
177,Kieta,PG,77.79,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
178,Hilo,US,87.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
182,Tabriz,IR,62.06,scattered clouds,38.08,46.2919,Sina Hotel
185,Mizan Teferi,ET,62.73,overcast clouds,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
190,Amudat,UG,73.85,overcast clouds,1.95,34.95,Silent Night Hotel
191,Lagoa,PT,62.24,overcast clouds,39.05,-27.9833,Casa Das Faias
192,Tala,EG,67.06,clear sky,30.6803,30.9429,وي
193,Lata,PT,67.08,broken clouds,40.1629,-8.3327,Casa Maquia
197,Foumban,CM,65.48,light rain,5.7291,10.9001,Hotel Pekassa De Karche
199,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
200,Kudahuvadhoo,MV,83.61,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
201,Marsh Harbour,BS,79.56,broken clouds,26.5412,-77.0636,Abaco Beach Resort
202,Pedernales,DO,85.77,broken clouds,18.0384,-71.744,Hotel Costa Marina
204,Hithadhoo,MV,83.86,overcast clouds,-0.6,73.0833,Scoop Guest House
205,Half Moon Bay,US,81.91,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
206,Sao Filipe,CV,72.28,clear sky,14.8961,-24.4956,Hotel Xaguate
207,Hamilton,US,67.77,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
208,Vanimo,PG,77.79,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
209,Surt,LY,69.96,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
210,Soyo,AO,75.56,broken clouds,-6.1349,12.3689,Hotel Mpampa
211,Manokwari,ID,78.26,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
212,Korla,CN,80.1,overcast clouds,41.7597,86.1469,Gulisitan Hotel
213,Muscle Shoals,US,84.34,scattered clouds,34.7448,-87.6675,Microtel Inn & Suites by Wyndham Tuscumbia/Muscle Shoals
215,Mityana,UG,67.32,overcast clouds,0.4175,32.0228,Green Valley Hotel
218,Teguise,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
219,North Bend,US,68.23,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
220,Ponta Delgada,PT,65.12,light intensity drizzle,37.7333,-25.6667,Vila Nova Hotel
224,Maragogi,BR,79.2,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
225,Mezhdurechensk,RU,63.79,overcast clouds,53.6942,88.0603,Apartments Mezhdurechensk
228,Faanui,PF,80.44,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
233,Peniche,PT,64.29,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
235,Jati,PK,82.99,scattered clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
236,Faya,SA,72.12,clear sky,18.3851,42.4509,املاك خالد الشعشوع
238,Kisangani,CD,74.28,light rain,0.5167,25.2,Grand Ramela Hotel
239,Kakching,IN,67.01,overcast clouds,24.4833,93.9833,Mimi Singju
240,Ponta Do Sol,PT,72.01,few clouds,32.6667,-17.1,Hotel do Campo
241,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
243,Loreto,MX,83.71,clear sky,22.2667,-101.9667,José de Jesús Velásquez mora
244,Ambilobe,MG,74.61,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
245,Margate,GB,64.31,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
246,Yenagoa,NG,76.59,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
247,Fortuna,US,61.86,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
248,Monrovia,LR,77.52,light rain,6.3005,-10.7969,Sunset Inn
249,Los Llanos De Aridane,ES,68.13,broken clouds,28.6585,-17.9182,Valle Aridane
251,Abu Dhabi,AE,84.31,clear sky,24.4667,54.3667,Beach Rotana
252,Havre,FR,66.6,clear sky,49.5833,0.3333,gite bois jourdain
253,Soimi,RO,64.2,overcast clouds,46.6833,22.1167,Casa Ofe
255,Pontiac,US,64.96,overcast clouds,42.6389,-83.2911,Embassy Suites by Hilton Auburn Hills
256,Sao Geraldo Do Araguaia,BR,80.71,clear sky,-6.4006,-48.555,Hotel Por do Sol
258,Hualmay,PE,68.97,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
259,Katherine,AU,66.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
260,Gizo,SB,81.79,few clouds,-8.103,156.8419,Imagination Island
262,Namatanai,PG,79.05,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
263,Marang,MY,79.92,overcast clouds,5.2056,103.2059,DBarakah Homestay
265,Bubaque,GW,78.3,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
266,Bonfim,BR,73.42,overcast clouds,3.0833,-59.95,
267,Buchanan,LR,77.29,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
268,Turmalina,BR,78.4,clear sky,-17.2856,-42.73,Hotel Cristal
270,Oakland,US,64.81,overcast clouds,42.6667,-83.3999,"Holiday Inn Express & Suites Waterford, an IHG Hotel"
271,Cagliari,IT,73.9,clear sky,39.245,9.0912,Holiday Inn Cagliari
272,Sao Felix Do Xingu,BR,87.91,clear sky,-6.6447,-51.995,Rio Xingu Camping
277,Riacho De Santana,BR,85.53,clear sky,-13.6092,-42.9389,Casa Nogueira
278,Bengkulu,ID,76.19,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
279,Savannah Bight,HN,82.81,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
281,Esperance,AU,63.0,few clouds,-33.8667,121.9,Hospitality Esperance
282,Carnarvon,AU,70.86,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
283,Puerto Leguizamo,CO,83.28,few clouds,-0.1934,-74.7819,la casona de juancho
284,Paita,PE,73.44,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
285,Angoche,MZ,76.91,clear sky,-16.2325,39.9086,Guest House HESADA
286,Puerto Quijarro,BO,88.72,clear sky,-17.7833,-57.7667,Hotel palance
288,Yonago,JP,61.16,clear sky,35.4333,133.3333,Bayside Square Kaike Hotel
289,Alora,ES,83.64,clear sky,36.8236,-4.7058,Apartments Vientos de Santa María
293,Bar Harbor,US,76.53,clear sky,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
295,Port Lavaca,US,84.52,clear sky,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
296,Panzhihua,CN,67.23,overcast clouds,26.5851,101.7128,Electric Power Hotel
298,Rio Do Sul,BR,67.39,overcast clouds,-27.2142,-49.6431,Hotel | Restaurante Aliança Express
299,Mbandaka,CD,73.18,light rain,0.0487,18.2603,Guest House Epervier
301,Kilindoni,TZ,80.29,broken clouds,-7.9139,39.6668,Bustani B&B
302,Moroni,KM,79.88,few clouds,-11.7022,43.2551,Hotel les Arcades
303,Yeppoon,AU,65.98,overcast clouds,-23.1333,150.7333,Villa Mar Colina
304,Xai-Xai,MZ,65.98,light rain,-25.0519,33.6442,Complexo da Familia
305,Den Helder,NL,64.96,overcast clouds,52.9599,4.7593,Hotel Den Helder
306,Orocue,CO,88.61,broken clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
311,La Paz,BO,60.78,scattered clouds,-16.5,-68.15,Hotel Presidente
313,Juneau,US,61.84,few clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
314,Huntingdon,GB,67.39,overcast clouds,52.3305,-0.1865,Huntingdon Marriott Hotel
316,Yining,CN,64.35,overcast clouds,29.0361,114.5636,Xiushui Hotel
